File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553731542.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553732640.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553733738.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553733748.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553734525.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553736286.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\gevonden_1553736713.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index2_1553736286.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index2_1553736713.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553607804.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553692123.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553703040.html,110,107,0,0,3,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553703299.html,123,122,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553705140.html,123,122,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553705756.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553706978.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553707975.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553710765.html,108,107,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553733738.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553734525.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553735876.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736119.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736273.html,126,125,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736405.html,127,126,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736713.html,129,128,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736742.html,129,128,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553736942.html,129,128,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553737446.html,116,115,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\index_1553737582.html,129,128,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553281244.html,90,89,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553281862.html,90,89,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553284182.html,103,102,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553284185.html,103,102,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553435855.html,103,102,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553705142.html,126,121,0,0,5,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553705953.html,103,102,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553706975.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553707050.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553707568.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553707975.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553709936.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553710764.html,124,123,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553733738.html,128,127,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553736713.html,128,127,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553764328.html,128,127,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\info_1553764422.html,128,127,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553706976.html,184,155,0,0,29,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553709934.html,194,193,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553713863.html,194,193,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553714806.html,194,193,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553726735.html,194,193,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553729565.html,199,198,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\Missing2_1553734525.html,199,198,0,0,1,0,0,0,0,0
